08:59:55,-,-,0,14.0700_14.0800_14.0900_14.1000_14.1100_,1100_518_523_632_539_,14.0600_14.0500_14.0400_14.0300_14.0200_,30_278_599_204_536_
09:00:55,-,-,0,14.0600_14.0700_14.0800_14.0900_14.1000_,1107_511_518_523_632_,14.0500_14.0400_14.0300_14.0200_14.0100_,350_324_208_673_1094_
09:01:55,-,-,0,14.0500_14.0600_14.0700_14.0800_14.0900_,1001_551_546_518_503_,14.0400_14.0300_14.0200_14.0100_14.0000_,186_247_848_757_1464_
09:01:55,-,-,0,14.0500_14.0600_14.0700_14.0800_14.0900_,1001_551_546_518_503_,14.0400_14.0300_14.0200_14.0100_14.0000_,186_247_848_757_1464_
09:03:54,14.0200,1,5132,14.0200_14.0300_14.0400_14.0500_14.0600_,90_3384_3991_3350_3546_,14.0100_14.0000_13.9900_13.9800_13.9700_,1025_3259_2613_2784_2893_
09:04:54,-,-,6082,14.0300_14.0400_14.0500_14.0600_14.0700_,1226_3386_3839_3543_3494_,14.0200_14.0100_14.0000_13.9900_13.9800_,219_3015_3642_3581_3347_
09:04:54,-,-,6082,14.0300_14.0400_14.0500_14.0600_14.0700_,1226_3386_3839_3543_3494_,14.0200_14.0100_14.0000_13.9900_13.9800_,219_3015_3642_3581_3347_
09:06:54,-,-,6827,14.0500_14.0600_14.0700_14.0800_14.0900_,993_4445_3525_3517_3496_,14.0400_14.0300_14.0200_14.0100_14.0000_,174_2266_3085_3172_4007_
09:07:59,14.0400,1,7192,14.0400_14.0500_14.0600_14.0700_14.0800_,1448_4917_3523_3525_3537_,14.0300_14.0200_14.0100_14.0000_13.9900_,348_2646_3613_5479_2806_
09:07:59,14.0400,1,7192,14.0400_14.0500_14.0600_14.0700_14.0800_,1448_4917_3523_3525_3537_,14.0300_14.0200_14.0100_14.0000_13.9900_,348_2646_3613_5479_2806_
09:09:54,-,-,8515,14.0300_14.0400_14.0500_14.0600_14.0700_,2250_3968_3563_3523_3525_,14.0200_14.0100_14.0000_13.9900_13.9800_,459_3324_4235_3748_3493_
09:10:54,-,-,9115,14.0300_14.0400_14.0500_14.0600_14.0700_,5783_3588_3503_3523_3527_,14.0200_14.0100_14.0000_13.9900_13.9800_,381_1589_3877_4132_3589_
09:10:54,-,-,9115,14.0300_14.0400_14.0500_14.0600_14.0700_,5783_3588_3503_3523_3527_,14.0200_14.0100_14.0000_13.9900_13.9800_,381_1589_3877_4132_3589_
09:12:54,-,-,9712,14.0300_14.0400_14.0500_14.0600_14.0700_,2408_3980_3565_3521_3529_,14.0200_14.0100_14.0000_13.9900_13.9800_,329_3580_4475_3868_3639_
09:12:54,-,-,9712,14.0300_14.0400_14.0500_14.0600_14.0700_,2408_3980_3565_3521_3529_,14.0200_14.0100_14.0000_13.9900_13.9800_,329_3580_4475_3868_3639_
09:14:54,14.0200,10,10516,14.0200_14.0300_14.0400_14.0500_14.0600_,141_963_4931_3565_3521_,14.0100_14.0000_13.9900_13.9800_13.9700_,3554_4536_3883_3669_2570_
09:15:54,14.0400,29,11063,14.0400_14.0500_14.0600_14.0700_14.0800_,5513_3565_3521_3529_3532_,14.0300_14.0200_14.0100_14.0000_13.9900_,34_280_3919_5921_2956_
09:16:54,-,-,11172,14.0400_14.0500_14.0600_14.0700_14.0800_,1771_3559_3592_3530_3556_,14.0300_14.0200_14.0100_14.0000_13.9900_,6_2576_4128_5548_2979_
09:16:54,-,-,11172,14.0400_14.0500_14.0600_14.0700_14.0800_,1771_3559_3592_3530_3556_,14.0300_14.0200_14.0100_14.0000_13.9900_,6_2576_4128_5548_2979_
09:18:54,14.0400,5,11255,14.0400_14.0500_14.0600_14.0700_14.0800_,113_5312_3592_3530_3554_,14.0300_14.0200_14.0100_14.0000_13.9900_,197_3073_5502_4093_2960_
09:19:58,14.0500,1,11592,14.0500_14.0600_14.0700_14.0800_14.0900_,4_5844_3600_3536_3499_,14.0400_14.0300_14.0200_14.0100_14.0000_,151_2357_4931_4196_4203_
09:20:52,-,-,11711,14.0500_14.0600_14.0700_14.0800_14.0900_,5712_3560_3635_3536_3500_,14.0400_14.0300_14.0200_14.0100_14.0000_,441_218_3388_5138_4610_
09:19:58,14.0500,1,11592,14.0500_14.0600_14.0700_14.0800_14.0900_,4_5844_3600_3536_3499_,14.0400_14.0300_14.0200_14.0100_14.0000_,151_2357_4931_4196_4203_
09:22:54,14.0200,103,13785,14.0200_14.0300_14.0400_14.0500_14.0600_,5667_3564_3493_3500_3592_,14.0100_14.0000_13.9900_13.9800_13.9700_,1760_1974_2892_3507_4443_
09:22:54,14.0200,103,13785,14.0200_14.0300_14.0400_14.0500_14.0600_,5667_3564_3493_3500_3592_,14.0100_14.0000_13.9900_13.9800_13.9700_,1760_1974_2892_3507_4443_
09:24:54,-,-,14977,14.0200_14.0300_14.0400_14.0500_14.0600_,5773_3564_3493_3502_3592_,14.0100_14.0000_13.9900_13.9800_13.9700_,1000_2083_2607_3912_4449_
09:24:54,-,-,14977,14.0200_14.0300_14.0400_14.0500_14.0600_,5773_3564_3493_3502_3592_,14.0100_14.0000_13.9900_13.9800_13.9700_,1000_2083_2607_3912_4449_
09:26:54,-,-,15611,14.0300_14.0400_14.0500_14.0600_14.0700_,5837_3563_3500_3598_3633_,14.0200_14.0100_14.0000_13.9900_13.9800_,234_808_4001_4434_3979_
09:26:54,-,-,15611,14.0300_14.0400_14.0500_14.0600_14.0700_,5837_3563_3500_3598_3633_,14.0200_14.0100_14.0000_13.9900_13.9800_,234_808_4001_4434_3979_
09:27:57,-,-,15921,14.0200_14.0300_14.0400_14.0500_14.0600_,5760_3612_3493_3501_3598_,14.0100_14.0000_13.9900_13.9800_13.9700_,869_2070_3012_3577_4467_
09:29:57,-,-,17303,14.0200_14.0300_14.0400_14.0500_14.0600_,5377_3606_3493_3501_3598_,14.0000_13.9900_13.9800_13.9700_13.9600_,2098_2633_3992_4481_3696_
09:30:54,13.9700,1,22456,13.9700_13.9800_13.9900_14.0000_14.0100_,17_5762_3563_3495_3496_,13.9600_13.9500_13.9400_13.9300_13.9200_,1636_3392_2623_4384_2236_
09:31:54,-,-,23579,13.9700_13.9800_13.9900_14.0000_14.0100_,5663_3562_3493_3493_3496_,13.9600_13.9500_13.9400_13.9300_13.9200_,1307_1467_2688_3964_2663_
09:32:49,-,-,25346,13.9700_13.9800_13.9900_14.0000_14.0100_,5556_3560_3493_3493_3496_,13.9600_13.9500_13.9400_13.9300_13.9200_,114_1596_2643_2639_4197_
09:33:53,-,-,26236,13.9600_13.9700_13.9800_13.9900_14.0000_,5655_3568_3491_3493_3557_,13.9500_13.9400_13.9300_13.9200_13.9100_,1246_728_2723_2817_4388_
09:34:54,-,-,27711,13.9600_13.9700_13.9800_13.9900_14.0000_,5516_3568_3517_3493_3547_,13.9500_13.9400_13.9300_13.9200_13.9100_,502_1032_3128_2450_4387_
09:35:59,-,-,29707,13.9500_13.9600_13.9700_13.9800_13.9900_,7_403_5424_3587_3513_,13.9400_13.9300_13.9200_13.9100_13.9000_,2405_3402_4408_2640_3624_
09:36:59,-,-,29837,13.9800_13.9900_14.0000_14.0100_14.0200_,5832_3593_3588_3506_3529_,13.9700_13.9600_13.9500_13.9400_13.9300_,64_75_2776_2418_4811_
09:35:59,-,-,29707,13.9500_13.9600_13.9700_13.9800_13.9900_,7_403_5424_3587_3513_,13.9400_13.9300_13.9200_13.9100_13.9000_,2405_3402_4408_2640_3624_
09:38:59,-,-,30406,13.9900_14.0000_14.0100_14.0200_14.0300_,2511_3694_3516_3551_3547_,13.9800_13.9700_13.9600_13.9500_13.9400_,98_2197_2574_3972_2850_
09:38:59,-,-,30406,13.9900_14.0000_14.0100_14.0200_14.0300_,2511_3694_3516_3551_3547_,13.9800_13.9700_13.9600_13.9500_13.9400_,98_2197_2574_3972_2850_
09:40:59,-,-,31141,13.9700_13.9800_13.9900_14.0000_14.0100_,2802_3595_3542_3668_3536_,13.9600_13.9500_13.9400_13.9300_13.9200_,174_2655_2806_4408_3128_
09:39:59,-,-,30978,13.9700_13.9800_13.9900_14.0000_14.0100_,898_4932_3612_3641_3536_,13.9600_13.9500_13.9400_13.9300_13.9200_,122_2625_2807_4902_2716_
09:41:58,-,-,31534,13.9600_13.9700_13.9800_13.9900_14.0000_,2796_3563_3510_3509_3637_,13.9500_13.9400_13.9300_13.9200_13.9100_,686_2403_3131_4411_3171_
09:43:59,-,-,32592,13.9700_13.9800_13.9900_14.0000_14.0100_,409_5432_3584_3594_3517_,13.9600_13.9500_13.9400_13.9300_13.9200_,92_2286_3070_5068_2723_
09:44:54,-,-,32642,13.9800_13.9900_14.0000_14.0100_14.0200_,2818_3584_3594_3517_3600_,13.9700_13.9600_13.9500_13.9400_13.9300_,37_186_2789_2845_3928_
09:44:54,-,-,32642,13.9800_13.9900_14.0000_14.0100_14.0200_,2818_3584_3594_3517_3600_,13.9700_13.9600_13.9500_13.9400_13.9300_,37_186_2789_2845_3928_
09:46:54,-,-,33482,13.9500_13.9600_13.9700_13.9800_13.9900_,19_5356_3563_3507_3514_,13.9400_13.9300_13.9200_13.9100_13.9000_,715_3461_3188_4650_3856_
09:46:54,-,-,33482,13.9500_13.9600_13.9700_13.9800_13.9900_,19_5356_3563_3507_3514_,13.9400_13.9300_13.9200_13.9100_13.9000_,715_3461_3188_4650_3856_
