09:00:00,90.2000,4652,4652,90.2000_90.3000_90.4000_90.5000_90.7000_,14_12_9_70_22_,90.1000_90.0000_89.9000_89.8000_89.7000_,484_1101_88_90_45_
09:00:55,-,-,7453,91.0000_91.1000_91.2000_91.3000_91.4000_,13_21_20_139_76_,90.7000_90.6000_90.5000_90.4000_90.3000_,1_113_137_193_116_
09:00:55,-,-,7453,91.0000_91.1000_91.2000_91.3000_91.4000_,13_21_20_139_76_,90.7000_90.6000_90.5000_90.4000_90.3000_,1_113_137_193_116_
09:02:55,-,-,13294,90.5000_90.6000_90.7000_90.8000_90.9000_,14_164_93_157_97_,90.3000_90.2000_90.1000_90.0000_89.9000_,53_207_464_1249_143_
09:03:55,88.5000,1,18867,88.7000_88.8000_88.9000_89.0000_89.1000_,15_25_67_201_94_,88.5000_88.4000_88.3000_88.2000_88.1000_,107_27_83_80_153_
09:04:55,-,-,21983,88.9000_89.0000_89.1000_89.2000_89.3000_,37_284_64_173_124_,88.8000_88.7000_88.6000_88.5000_88.4000_,6_148_155_190_113_
09:04:55,-,-,21983,88.9000_89.0000_89.1000_89.2000_89.3000_,37_284_64_173_124_,88.8000_88.7000_88.6000_88.5000_88.4000_,6_148_155_190_113_
09:06:55,-,-,27234,88.8000_88.9000_89.0000_89.1000_89.2000_,11_91_124_329_241_,88.7000_88.6000_88.5000_88.4000_88.3000_,25_274_1072_114_109_
09:07:55,-,-,30246,88.2000_88.3000_88.4000_88.5000_88.6000_,154_84_68_504_176_,88.1000_88.0000_87.9000_87.8000_87.7000_,22_948_75_153_85_
09:08:55,-,-,33615,88.3000_88.4000_88.5000_88.6000_88.7000_,29_80_120_89_144_,88.2000_88.1000_88.0000_87.9000_87.8000_,4_169_1084_92_207_
09:08:55,-,-,33615,88.3000_88.4000_88.5000_88.6000_88.7000_,29_80_120_89_144_,88.2000_88.1000_88.0000_87.9000_87.8000_,4_169_1084_92_207_
09:10:55,89.0000,1,38486,89.0000_89.1000_89.2000_89.3000_89.4000_,50_57_35_143_225_,88.9000_88.8000_88.7000_88.6000_88.5000_,92_86_28_46_327_
09:10:55,89.0000,1,38486,89.0000_89.1000_89.2000_89.3000_89.4000_,50_57_35_143_225_,88.9000_88.8000_88.7000_88.6000_88.5000_,92_86_28_46_327_
09:12:50,-,-,41473,88.7000_88.8000_88.9000_89.0000_89.1000_,54_23_56_205_150_,88.6000_88.5000_88.4000_88.3000_88.2000_,7_208_84_83_245_
09:12:50,-,-,41473,88.7000_88.8000_88.9000_89.0000_89.1000_,54_23_56_205_150_,88.6000_88.5000_88.4000_88.3000_88.2000_,7_208_84_83_245_
09:14:55,-,-,44313,89.2000_89.3000_89.4000_89.5000_89.6000_,20_88_175_444_285_,89.1000_89.0000_88.9000_88.8000_88.7000_,3_64_35_62_107_
09:14:55,-,-,44313,89.2000_89.3000_89.4000_89.5000_89.6000_,20_88_175_444_285_,89.1000_89.0000_88.9000_88.8000_88.7000_,3_64_35_62_107_
09:16:50,-,-,46071,89.1000_89.2000_89.3000_89.4000_89.5000_,44_86_393_157_523_,89.0000_88.9000_88.8000_88.7000_88.6000_,45_20_116_123_224_
09:17:55,-,-,47084,89.2000_89.3000_89.4000_89.5000_89.6000_,185_402_230_582_134_,89.0000_88.9000_88.8000_88.7000_88.6000_,3_8_109_104_153_
09:18:50,88.7000,5,48022,88.8000_88.9000_89.0000_89.1000_89.2000_,55_9_176_144_279_,88.7000_88.6000_88.5000_88.4000_88.3000_,29_88_374_63_189_
09:19:55,88.5000,1,48621,88.6000_88.7000_88.8000_88.9000_89.0000_,3_294_164_91_302_,88.5000_88.4000_88.3000_88.2000_88.1000_,359_66_163_412_506_
09:20:55,-,-,49899,88.6000_88.7000_88.8000_88.9000_89.0000_,42_39_76_112_373_,88.5000_88.4000_88.3000_88.2000_88.1000_,20_48_51_293_590_
09:21:50,-,-,50959,89.0000_89.1000_89.2000_89.3000_89.4000_,59_97_194_133_295_,88.9000_88.8000_88.7000_88.6000_88.5000_,7_34_94_163_364_
09:22:55,89.2000,1,51866,89.3000_89.4000_89.5000_89.6000_89.7000_,145_193_470_116_115_,89.2000_89.1000_89.0000_88.9000_88.8000_,53_36_213_199_187_
09:23:55,-,-,52866,89.1000_89.2000_89.3000_89.4000_89.5000_,13_35_124_187_592_,89.0000_88.9000_88.8000_88.7000_88.6000_,25_47_97_57_95_
09:24:55,89.0000,11,53389,89.0000_89.1000_89.2000_89.3000_89.4000_,39_37_175_151_281_,88.9000_88.8000_88.7000_88.6000_88.5000_,95_199_62_85_324_
09:25:55,-,-,54200,88.7000_88.8000_88.9000_89.0000_89.1000_,2_40_70_117_150_,88.6000_88.5000_88.4000_88.3000_88.2000_,71_418_146_182_376_
09:25:55,-,-,54200,88.7000_88.8000_88.9000_89.0000_89.1000_,2_40_70_117_150_,88.6000_88.5000_88.4000_88.3000_88.2000_,71_418_146_182_376_
09:26:55,89.0000,1,55023,89.0000_89.1000_89.2000_89.3000_89.4000_,21_27_189_146_282_,88.8000_88.7000_88.6000_88.5000_88.4000_,15_27_55_480_305_
09:28:55,89.5000,4,56449,89.5000_89.6000_89.7000_89.8000_89.9000_,425_131_75_149_144_,89.4000_89.3000_89.2000_89.1000_89.0000_,30_51_82_91_159_
09:29:55,-,-,57640,89.6000_89.7000_89.8000_89.9000_90.0000_,19_76_122_87_922_,89.5000_89.4000_89.3000_89.2000_89.1000_,87_55_101_139_161_
09:30:55,89.1000,1,58189,89.2000_89.3000_89.4000_89.5000_89.6000_,3_41_19_82_216_,89.1000_89.0000_88.9000_88.8000_88.7000_,9_187_47_202_119_
09:30:55,89.1000,1,58189,89.2000_89.3000_89.4000_89.5000_89.6000_,3_41_19_82_216_,89.1000_89.0000_88.9000_88.8000_88.7000_,9_187_47_202_119_
09:32:55,-,-,59076,89.1000_89.2000_89.3000_89.4000_89.5000_,62_35_35_169_258_,89.0000_88.9000_88.8000_88.7000_88.6000_,54_79_227_106_264_
09:33:55,89.1000,1,59473,89.1000_89.2000_89.3000_89.4000_89.5000_,55_53_48_174_280_,89.0000_88.9000_88.8000_88.7000_88.6000_,78_91_266_124_240_
09:34:55,-,-,60176,89.3000_89.4000_89.5000_89.6000_89.7000_,46_25_191_121_239_,89.2000_89.1000_89.0000_88.9000_88.8000_,7_71_138_123_305_
09:34:55,-,-,60176,89.3000_89.4000_89.5000_89.6000_89.7000_,46_25_191_121_239_,89.2000_89.1000_89.0000_88.9000_88.8000_,7_71_138_123_305_
09:36:55,-,-,61249,89.0000_89.1000_89.2000_89.3000_89.4000_,35_15_63_45_147_,88.9000_88.8000_88.7000_88.6000_88.5000_,39_313_120_256_833_
09:36:55,-,-,61249,89.0000_89.1000_89.2000_89.3000_89.4000_,35_15_63_45_147_,88.9000_88.8000_88.7000_88.6000_88.5000_,39_313_120_256_833_
09:37:55,-,-,61593,89.0000_89.1000_89.2000_89.3000_89.4000_,7_51_108_83_157_,88.9000_88.8000_88.7000_88.6000_88.5000_,82_351_129_263_807_
09:38:50,-,-,61852,89.2000_89.3000_89.4000_89.5000_89.6000_,95_47_104_289_189_,89.1000_89.0000_88.9000_88.8000_88.7000_,1_176_184_350_202_
09:40:55,-,-,62424,89.3000_89.4000_89.5000_89.6000_89.7000_,62_109_288_82_221_,89.2000_89.1000_89.0000_88.9000_88.8000_,17_30_400_220_484_
